baseline,language,taskset,execution,platform,seq_rand,nrow,time
HandcodedCPP,CPP,false,IO,Single,Sequential,10000000,62686
HandcodedCPP,CPP,true,IO,Single,Sequential,10000000,63748
HandcodedCPP,CPP,false,IO,Parallel,Sequential,10000000,64299
HandcodedCPP,CPP,false,IO,Single,Random,10000000,426326
HandcodedCPP,CPP,true,IO,Single,Random,10000000,423166
HandcodedCPP,CPP,false,IO,Parallel,Random,10000000,89674
HandcodedCPP,CPP,false,Total,Single,Sequential,10000000,136682
HandcodedCPP,CPP,true,Total,Single,Sequential,10000000,131972
HandcodedCPP,CPP,false,Total,Parallel,Sequential,10000000,109312
HandcodedCPP,CPP,false,Total,Single,Random,10000000,524055
HandcodedCPP,CPP,true,Total,Single,Random,10000000,528059
HandcodedCPP,CPP,false,Total,Parallel,Random,10000000,137116
HandcodedCPP,CPP,false,IO,Single,Sequential,8000000,51012
HandcodedCPP,CPP,true,IO,Single,Sequential,8000000,50964
HandcodedCPP,CPP,false,IO,Parallel,Sequential,8000000,52955
HandcodedCPP,CPP,false,IO,Single,Random,8000000,367584
HandcodedCPP,CPP,true,IO,Single,Random,8000000,363004
HandcodedCPP,CPP,false,IO,Parallel,Random,8000000,84380
HandcodedCPP,CPP,false,Total,Single,Sequential,8000000,109340
HandcodedCPP,CPP,true,Total,Single,Sequential,8000000,106603
HandcodedCPP,CPP,false,Total,Parallel,Sequential,8000000,102569
HandcodedCPP,CPP,false,Total,Single,Random,8000000,446141
HandcodedCPP,CPP,true,Total,Single,Random,8000000,441980
HandcodedCPP,CPP,false,Total,Parallel,Random,8000000,132274
HandcodedCPP,CPP,false,IO,Single,Sequential,6000000,41539
HandcodedCPP,CPP,true,IO,Single,Sequential,6000000,39852
HandcodedCPP,CPP,false,IO,Parallel,Sequential,6000000,41536
HandcodedCPP,CPP,false,IO,Single,Random,6000000,306974
HandcodedCPP,CPP,true,IO,Single,Random,6000000,307384
HandcodedCPP,CPP,false,IO,Parallel,Random,6000000,79092
HandcodedCPP,CPP,false,Total,Single,Sequential,6000000,85225
HandcodedCPP,CPP,true,Total,Single,Sequential,6000000,81290
HandcodedCPP,CPP,false,Total,Parallel,Sequential,6000000,97987
HandcodedCPP,CPP,false,Total,Single,Random,6000000,366404
HandcodedCPP,CPP,true,Total,Single,Random,6000000,364785
HandcodedCPP,CPP,false,Total,Parallel,Random,6000000,125457
HandcodedCPP,CPP,false,IO,Single,Sequential,4000000,28113
HandcodedCPP,CPP,true,IO,Single,Sequential,4000000,28056
HandcodedCPP,CPP,false,IO,Parallel,Sequential,4000000,29769
HandcodedCPP,CPP,false,IO,Single,Random,4000000,245892
HandcodedCPP,CPP,true,IO,Single,Random,4000000,246142
HandcodedCPP,CPP,false,IO,Parallel,Random,4000000,73790
HandcodedCPP,CPP,false,Total,Single,Sequential,4000000,58613
HandcodedCPP,CPP,true,Total,Single,Sequential,4000000,55901
HandcodedCPP,CPP,false,Total,Parallel,Sequential,4000000,92612
HandcodedCPP,CPP,false,Total,Single,Random,4000000,286773
HandcodedCPP,CPP,true,Total,Single,Random,4000000,287593
HandcodedCPP,CPP,false,Total,Parallel,Random,4000000,117433
HandcodedCPP,CPP,false,IO,Single,Sequential,2000000,16444
HandcodedCPP,CPP,true,IO,Single,Sequential,2000000,16430
HandcodedCPP,CPP,false,IO,Parallel,Sequential,2000000,18586
HandcodedCPP,CPP,false,IO,Single,Random,2000000,187131
HandcodedCPP,CPP,true,IO,Single,Random,2000000,185709
HandcodedCPP,CPP,false,IO,Parallel,Random,2000000,68372
HandcodedCPP,CPP,false,Total,Single,Sequential,2000000,30219
HandcodedCPP,CPP,true,Total,Single,Sequential,2000000,30379
HandcodedCPP,CPP,false,Total,Parallel,Sequential,2000000,90684
HandcodedCPP,CPP,false,Total,Single,Random,2000000,207934
HandcodedCPP,CPP,true,Total,Single,Random,2000000,206642
HandcodedCPP,CPP,false,Total,Parallel,Random,2000000,116076
inPlaceCPP,CPP,false,IO,Single,Sequential,10000000,94370
inPlaceCPP,CPP,true,IO,Single,Sequential,10000000,94527
inPlaceCPP,CPP,false,IO,Parallel,Sequential,10000000,97340
inPlaceCPP,CPP,false,IO,Single,Random,10000000,494202
inPlaceCPP,CPP,true,IO,Single,Random,10000000,491305
inPlaceCPP,CPP,false,IO,Parallel,Random,10000000,120726
inPlaceCPP,CPP,false,Total,Single,Sequential,10000000,97607
inPlaceCPP,CPP,true,Total,Single,Sequential,10000000,95954
inPlaceCPP,CPP,false,Total,Parallel,Sequential,10000000,109070
inPlaceCPP,CPP,false,Total,Single,Random,10000000,506628
inPlaceCPP,CPP,true,Total,Single,Random,10000000,505355
inPlaceCPP,CPP,false,Total,Parallel,Random,10000000,146074
inPlaceCPP,CPP,false,IO,Single,Sequential,8000000,77288
inPlaceCPP,CPP,true,IO,Single,Sequential,8000000,76596
inPlaceCPP,CPP,false,IO,Parallel,Sequential,8000000,79209
inPlaceCPP,CPP,false,IO,Single,Random,8000000,433577
inPlaceCPP,CPP,true,IO,Single,Random,8000000,432508
inPlaceCPP,CPP,false,IO,Parallel,Random,8000000,115379
inPlaceCPP,CPP,false,Total,Single,Sequential,8000000,77837
inPlaceCPP,CPP,true,Total,Single,Sequential,8000000,80064
inPlaceCPP,CPP,false,Total,Parallel,Sequential,8000000,98276
inPlaceCPP,CPP,false,Total,Single,Random,8000000,445213
inPlaceCPP,CPP,true,Total,Single,Random,8000000,451002
inPlaceCPP,CPP,false,Total,Parallel,Random,8000000,140851
inPlaceCPP,CPP,false,IO,Single,Sequential,6000000,59532
inPlaceCPP,CPP,true,IO,Single,Sequential,6000000,58324
inPlaceCPP,CPP,false,IO,Parallel,Sequential,6000000,60552
inPlaceCPP,CPP,false,IO,Single,Random,6000000,371784
inPlaceCPP,CPP,true,IO,Single,Random,6000000,375376
inPlaceCPP,CPP,false,IO,Parallel,Random,6000000,110018
inPlaceCPP,CPP,false,Total,Single,Sequential,6000000,59214
inPlaceCPP,CPP,true,Total,Single,Sequential,6000000,59445
inPlaceCPP,CPP,false,Total,Parallel,Sequential,6000000,97032
inPlaceCPP,CPP,false,Total,Single,Random,6000000,381784
inPlaceCPP,CPP,true,Total,Single,Random,6000000,380729
inPlaceCPP,CPP,false,Total,Parallel,Random,6000000,133299
inPlaceCPP,CPP,false,IO,Single,Sequential,4000000,40001
inPlaceCPP,CPP,true,IO,Single,Sequential,4000000,39977
inPlaceCPP,CPP,false,IO,Parallel,Sequential,4000000,42491
inPlaceCPP,CPP,false,IO,Single,Random,4000000,315231
inPlaceCPP,CPP,true,IO,Single,Random,4000000,313029
inPlaceCPP,CPP,false,IO,Parallel,Random,4000000,104792
inPlaceCPP,CPP,false,Total,Single,Sequential,4000000,40651
inPlaceCPP,CPP,true,Total,Single,Sequential,4000000,40870
inPlaceCPP,CPP,false,Total,Parallel,Sequential,4000000,96136
inPlaceCPP,CPP,false,Total,Single,Random,4000000,321279
inPlaceCPP,CPP,true,Total,Single,Random,4000000,320069
inPlaceCPP,CPP,false,Total,Parallel,Random,4000000,129389
inPlaceCPP,CPP,false,IO,Single,Sequential,2000000,22758
inPlaceCPP,CPP,true,IO,Single,Sequential,2000000,22757
inPlaceCPP,CPP,false,IO,Parallel,Sequential,2000000,24869
inPlaceCPP,CPP,false,IO,Single,Random,2000000,255103
inPlaceCPP,CPP,true,IO,Single,Random,2000000,253849
inPlaceCPP,CPP,false,IO,Parallel,Random,2000000,99527
inPlaceCPP,CPP,false,Total,Single,Sequential,2000000,23056
inPlaceCPP,CPP,true,Total,Single,Sequential,2000000,23225
inPlaceCPP,CPP,false,Total,Parallel,Sequential,2000000,97140
inPlaceCPP,CPP,false,Total,Single,Random,2000000,260412
inPlaceCPP,CPP,true,Total,Single,Random,2000000,257352
inPlaceCPP,CPP,false,Total,Parallel,Random,2000000,127102
BoostCPP,CPP,false,IO,Single,Sequential,10000000,64611
BoostCPP,CPP,true,IO,Single,Sequential,10000000,64820
BoostCPP,CPP,false,IO,Parallel,Sequential,10000000,65339
BoostCPP,CPP,false,IO,Single,Random,10000000,431893
BoostCPP,CPP,true,IO,Single,Random,10000000,433078
BoostCPP,CPP,false,IO,Parallel,Random,10000000,90671
BoostCPP,CPP,false,Total,Single,Sequential,10000000,476292
BoostCPP,CPP,true,Total,Single,Sequential,10000000,451905
BoostCPP,CPP,false,Total,Parallel,Sequential,10000000,137523
BoostCPP,CPP,false,Total,Single,Random,10000000,944225
BoostCPP,CPP,true,Total,Single,Random,10000000,966258
BoostCPP,CPP,false,Total,Parallel,Random,10000000,151265
BoostCPP,CPP,false,IO,Single,Sequential,8000000,54462
BoostCPP,CPP,true,IO,Single,Sequential,8000000,53786
BoostCPP,CPP,false,IO,Parallel,Sequential,8000000,54022
BoostCPP,CPP,false,IO,Single,Random,8000000,370907
BoostCPP,CPP,true,IO,Single,Random,8000000,372798
BoostCPP,CPP,false,IO,Parallel,Random,8000000,85333
BoostCPP,CPP,false,Total,Single,Sequential,8000000,378369
BoostCPP,CPP,true,Total,Single,Sequential,8000000,364951
BoostCPP,CPP,false,Total,Parallel,Sequential,8000000,127668
BoostCPP,CPP,false,Total,Single,Random,8000000,746267
BoostCPP,CPP,true,Total,Single,Random,8000000,759382
